"Year","Month","Nationality","State","Students","Share","Growth"
"2021","Sep","Norway","VIC","68","0","-56"
"2021","Sep","Bulgaria","VIC","23","0","-34"
"2021","Sep","Malta","VIC","4","0","-33"
"2021","Sep","Sudan","QLD","9","0","13"
"2021","Sep","Korea, Republic of (South)","SA","595","2","-21"
"2021","Sep","Turkey","QLD","144","0","-25"
"2021","Sep","Netherlands","NSW","191","0","-40"
"2021","Sep","Singapore","TAS","148","1","-27"
"2021","Sep","Canada","WA","125","0","-48"
"2021","Sep","Dominican Republic","NSW","4","0","-33"
"2021","Sep","Lithuania","NSW","168","0","-41"
"2021","Sep","Puerto Rico","VIC","4","0","0"
"2021","Sep","Thailand","VIC","2610","1","-40"
"2021","Sep","Cyprus","WA","4","0","0"
"2021","Sep","Nepal","SA","1931","6","-1"
"2021","Sep","Romania","NSW","28","0","-35"
"2021","Sep","Bosnia and Herzegovina","WA","4","0","33"
"2021","Sep","Portugal","SA","34","0","-8"
"2021","Sep","Saudi Arabia","ACT","119","1","-10"
"2021","Sep","Israel","ACT","4","0","100"
"2021","Sep","Kosovo","NSW","4","0","-50"
"2021","Sep","Rwanda","VIC","5","0","-17"
"2021","Sep","Indonesia","VIC","5048","3","-15"
"2021","Sep","Morocco","WA","4","0","-33"
"2021","Sep","Slovakia","VIC","21","0","-50"
"2021","Sep","Tuvalu","VIC","4","0","-25"
"2021","Sep","Bangladesh","NT","206","5","-1"
"2021","Sep","Brunei Darussalam","QLD","45","0","2"
"2021","Sep","Ethiopia","WA","15","0","-6"
"2021","Sep","Czech Republic","VIC","27","0","-64"
"2021","Sep","Singapore","ACT","127","1","-20"
"2021","Sep","Morocco","NSW","27","0","-4"
"2021","Sep","Ireland","VIC","226","0","-22"
"2021","Sep","Tonga","VIC","4","0","-57"
"2021","Sep","France","SA","54","0","-36"
"2021","Sep","Ecuador","NT","4","0","0"
"2021","Sep","Sri Lanka","WA","816","3","-9"
"2021","Sep","Indonesia","QLD","917","1","-5"
"2021","Sep","Iran","SA","116","0","-6"
"2021","Sep","Guatemala","TAS","4","0","0"
"2021","Sep","Nauru","QLD","32","0","-9"
"2021","Sep","Grenada","VIC","4","0","0"
"2021","Sep","Sudan","NSW","30","0","-23"
"2021","Sep","Bolivia","NSW","22","0","-12"
"2021","Sep","Laos","SA","5","0","-29"
"2021","Sep","Uganda","NT","4","0","-50"
"2021","Sep","Romania","WA","21","0","-5"
"2021","Sep","Kenya","TAS","33","0","-3"
"2021","Sep","Syria","WA","4","0","-50"
"2021","Sep","Austria","WA","4","0","-71"
"2021","Sep","Slovakia","QLD","54","0","-26"
"2021","Sep","Sweden","WA","46","0","-45"
"2021","Sep","Estonia","VIC","27","0","-45"
"2021","Sep","Dominican Republic","VIC","4","0","0"
"2021","Sep","Qatar","QLD","4","0","0"
"2021","Sep","Iran","VIC","724","0","-5"
"2021","Sep","Maldives","WA","26","0","-4"
"2021","Sep","Norway","ACT","4","0","-43"
"2021","Sep","Lithuania","VIC","20","0","-58"
"2021","Sep","France","TAS","22","0","-21"
"2021","Sep","Laos","TAS","4","0","-60"
"2021","Sep","Bosnia and Herzegovina","VIC","15","0","-25"
"2021","Sep","Uganda","SA","13","0","0"
"2021","Sep","Spain","ACT","5","0","-44"
"2021","Sep","Uganda","QLD","18","0","20"
"2021","Sep","Slovakia","SA","6","0","-45"
"2021","Sep","Lithuania","QLD","47","0","-49"
"2021","Sep","Rwanda","QLD","7","0","-22"
"2021","Sep","Kuwait","WA","24","0","-27"
"2021","Sep","Portugal","QLD","136","0","-20"
"2021","Sep","Austria","VIC","27","0","-29"
"2021","Sep","Uganda","TAS","4","0","-60"
"2021","Sep","Bulgaria","NSW","34","0","-37"
"2021","Sep","Malta","NSW","5","0","-17"
"2021","Sep","Netherlands","QLD","115","0","-27"
"2021","Sep","Philippines","ACT","211","1","-15"
"2021","Sep","Bhutan","VIC","171","0","-15"
"2021","Sep","Uzbekistan","QLD","15","0","-40"
"2021","Sep","Chad","NSW","4","0","50"
"2021","Sep","Serbia","WA","10","0","-9"
"2021","Sep","Madagascar","TAS","4","0","0"
"2021","Sep","Argentina","NSW","675","0","-9"
"2021","Sep","Netherlands","VIC","113","0","-44"
"2021","Sep","Bhutan","WA","1407","4","-21"
"2021","Sep","Laos","ACT","31","0","-3"
"2021","Sep","Montenegro","NSW","5","0","0"
"2021","Sep","United States of America","NSW","1355","1","-66"
"2021","Sep","Thailand","NSW","6117","3","-22"
"2021","Sep","Canada","NSW","1034","0","-32"
"2021","Sep","Slovakia","NT","4","0","-67"
"2021","Sep","Tuvalu","WA","4","0","100"
"2021","Sep","Kenya","ACT","31","0","-3"
"2021","Sep","Grenada","QLD","4","0","0"
"2021","Sep","Ukraine","SA","4","0","-60"
"2021","Sep","Chile","NT","7","0","-22"
"2021","Sep","Bahrain","VIC","6","0","-50"
"2021","Sep","Bulgaria","WA","4","0","50"
"2021","Sep","Iraq","ACT","4","0","0"
"2021","Sep","Ghana","NSW","160","0","-12"
"2021","Sep","Montenegro","WA","4","0","-50"
"2021","Sep","Honduras","VIC","6","0","0"
